 MUH                   GUF0001341UTG120030212             -0000000003709000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUV100001341
 363700155180163100    GUF0001341    20030131             -0000000005196000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             +0000000005196000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             -0000000005196000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800005160163100    GUF0001341    20030131             -0000000017420510                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             +0000000017420510                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             -0000000017420510                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800005160163101    GUF0001341    20030131             -0000000001872000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             +0000000001872000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             -0000000001872000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800005160163102    GUF0001341    20030131             -0000000025975000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             +0000000025975000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             -0000000025975000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800005160163103    GUF0001341    20030131             -0000000005344000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             +0000000005344000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             -0000000005344000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800005160163714    GUF0001341    20030131             -0000000150248750                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             +0000000150248750                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             -0000000150248750                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800005160163715    GUF0001341    20030131             -0000000589079000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             +0000000589079000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             -0000000589079000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800005160163717    GUF0001341    20030131             -0000000461549000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             +0000000461549000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             -0000000461549000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800005160163718    GUF0001341    20030131             -0000000020468000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             +0000000020468000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             -0000000020468000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800005160163719    GUF0001341    20030131             -0000000045740000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             +0000000045740000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             -0000000045740000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 363700385180163721    GUF0001341    20030131             -0000000001840000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             +0000000001840000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             -0000000001840000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800005160163721    GUF0001341    20030131             -0000000108599000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             +0000000108599000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             -0000000108599000                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 366800005160163722    GUF0001341    20030131             -0000000176418500                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             +0000000176418500                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030212             -0000000176418500                                  SEK N1 808 Gr Elnät AB (fd            200302KFGUX100001341
 363700385180164029    GUF0001341    20030131             -0000000007798000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
 IUGUR                 GUF0001341    20030131             +0000000007798000                                  SEK N1 808 Gr Elnät AB (fd            200301KFGUX100001341
